시간	무게	무게 변화	포트	로그	상태
15_18_28_179	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_28_235	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_28_242	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_28_248	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_28_273	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_28_345	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_28_350	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_28_355	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_28_377	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_28_456	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_28_463	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_28_470	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_28_502	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_28_566	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_28_574	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_28_582	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_28_620	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_28_675	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_28_681	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_28_706	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_28_724	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_28_784	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_28_789	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_28_794	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_28_820	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_28_893	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_28_897	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_28_902	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
